X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25
1	1	1	1	-0.473	-2.6154	-1.5079	-1.4002	1	2	3.1453	-3.6206	3.5556	1	2	1	-3.5677	1	0	2.3913	0	0	1.1422	-4.3662	-6.6888
1	0	0	0	0.6157	-0.1519	1.4154	0.5552	0	2	-0.7787	0.2801	-1.544	2	0	2	0.6501	0	2	-2.7994	0	0	0.0249	6.7984	3.1202
0	0	2	0	-0.2823	-1.8199	-2.173	-0.3736	2	0	3.1725	0.3523	-2.03	0	1	0	-3.9146	2	0	5.5685	2	2	0.2483	-7.0282	-5.0329
0	0	0	2	3.4912	-2.1659	0.1877	-0.5855	2	0	1.6997	3.189	-3.8225	0	1	2	-2.555	0	2	6.9265	1	2	-1.3056	-7.1158	-1.816
2	2	1	0	-0.4929	-3.8623	-1.5221	0.0911	1	0	-1.0812	-2.1286	1.5733	1	1	1	-0.7546	1	1	2.4089	1	0	-2.8068	-2.7249	-1.9796
2	1	2	2	0.0102	1.022	-0.3167	-0.4128	1	2	-0.634	-1.4676	0.2874	1	2	1	-1.2478	1	0	1.2501	2	0	0.6507	-1.5277	-1.961
1	2	0	1	0.5706	-0.8859	-4.7467	2.107	1	1	3.0022	5.8046	-12.6564	0	0	2	-5.3692	0	0	23.3671	2	1	0.7714	-25.66	-22.2084
0	0	2	1	-0.8276	0.5553	0.8168	1.1109	0	1	-1.5948	3.2406	-1.4834	2	0	2	2.1769	2	1	1.6902	0	2	0.9875	-5.6809	-3.6184
0	2	0	0	1.4923	-0.3361	2.4161	1.2895	0	0	-2.2189	-1.101	4.3264	0	1	1	2.4655	0	1	-4.4392	1	0	-0.3083	6.8702	3.264
1	2	0	1	0.3738	1.1487	-0.3938	-0.2398	2	0	-0.8319	2.4123	-6.82	2	0	2	-5.1516	0	2	14.424	0	2	-0.7993	-17.7294	-15.5433
1	2	1	1	-0.9912	-1.094	-0.9273	-0.3841	0	0	0.0877	2.153	-5.2522	2	2	2	0.9881	1	0	3.3417	0	2	0.5015	-4.998	-4.7622
0	0	2	0	1.2148	-2.3842	0.6972	1.6025	0	2	-0.6163	-0.889	2.3388	2	1	1	2.9839	2	2	-4.7524	0	0	0.8898	2.9148	1.137
2	1	0	2	0.2919	-0.4323	-1.5488	-2.4488	2	0	3.5477	0.0982	-0.5015	0	0	0	1.8092	2	0	-2.2947	0	1	0.5745	2.6111	1.5227
0	1	0	0	-0.3486	1.2138	1.5763	2.2892	0	1	-2.6777	0.1675	1.5824	2	2	2	2.1241	2	1	-5.7466	0	1	3.232	6.3011	3.3876
2	1	1	1	-2.2221	-0.7093	-1.0091	0.4076	0	1	-0.2191	0.3486	2.1042	1	2	2	3.4535	1	0	-6.7441	0	1	0.6536	9.1279	7.1463
2	1	0	1	0.1746	0.2872	0.6368	1.2357	2	0	-0.5887	-0.6421	3.2662	2	1	1	3.0098	2	1	-6.7914	1	1	0.477	7.4807	5.3791
2	0	1	1	-1.226	2.1633	2.1972	-0.3159	1	2	-1.0788	0.9928	-3.0895	1	1	1	1.6051	1	1	-0.0252	2	2	2.1434	-1.3792	1.0727
0	2	1	1	-1.3224	3.3095	3.0585	-1.2094	2	0	-0.6518	-2.8891	3.2213	1	2	0	0.217	1	1	-1.5016	0	0	1.5339	2.7652	3.0578
0	2	0	0	-0.6932	-0.8638	-0.84	1.2628	1	1	-0.4168	-0.1339	-2.0321	1	0	0	-3.3106	0	0	5.4329	0	0	0.8272	-3.6011	-5.6416
0	2	0	0	-0.6548	1.6369	1.8189	3.3437	1	0	-3.099	-3.2019	3.7816	1	1	1	0.9634	0	1	-5.0308	1	0	-0.6119	6.8329	1.3012
2	1	0	1	-2.3098	1.5212	0.5829	0.839	1	0	-2.0368	0.381	-0.252	1	0	2	3.0621	0	1	-1.563	2	1	0.4838	3.8552	0.9553
2	2	0	2	1.707	-2.0834	-0.1366	0.1802	1	0	-0.6882	0.3259	-3.7221	0	2	1	-2.0825	1	2	5.3315	2	1	-3.5289	-5.2319	-6.5997
2	0	0	2	1.6315	0.9967	2.3423	3.773	2	2	-4.3454	-2.2608	4.0495	2	1	1	-0.7961	0	1	-2.037	1	2	0.6434	4.3485	0.6093
0	2	0	0	-2.0985	-0.8864	-1.4933	-1.327	2	1	3.3826	-0.5537	-2.1097	1	1	0	-2.3183	1	0	3.7121	1	0	1.3563	-6.6808	-6.0911
1	0	0	1	-0.2472	0.4783	-3.0596	2.7366	1	0	1.6051	-4.8453	4.1278	1	1	1	-1.7718	2	0	-5.2574	1	0	2.2199	3.6859	-3.2374
1	2	0	1	3.0929	-1.8523	-2.3558	-0.199	1	0	-0.0036	1.7931	-5.7322	0	0	0	-2.7757	0	2	7.5668	1	2	-1.6094	-8.806	-7.5361
0	1	0	1	2.0489	0.1403	-0.0068	1.5658	2	0	-1.3236	-1.4021	2.6067	0	1	0	2.2131	0	1	-3.2751	0	0	2.5586	4.2848	2.7462
2	0	1	1	-1.0215	-0.0094	0.2234	-1.393	2	1	1.7301	1.5275	0.3928	0	1	2	2.8977	1	0	-5.2696	0	2	-0.6877	6.0265	10.6694
0	2	0	0	-0.7362	0.5511	0.7876	-1.3665	0	1	2.6558	1.0077	0.2783	0	0	2	-1.9522	1	0	4.8559	0	2	-0.7543	-4.6891	-3.7722
0	1	1	1	-0.0401	-0.7456	-2.3207	-1.1985	2	1	0.3364	0.8414	-1.1808	1	0	0	-2.3207	1	0	5.9865	0	1	2.6222	-6.2455	-3.2606
0	2	0	0	-1.9994	-1.1339	-3.567	0.8585	0	1	-2.1208	2.1599	-3.6001	2	1	2	-1.2773	2	1	6.5298	0	2	-0.9006	-8.5413	-9.6848
2	1	2	2	2.4108	-0.3473	-0.4856	0.1194	1	2	1.2194	2.8272	-4.3311	0	1	2	-2.1711	2	2	4.9075	0	1	-1.5789	-7.2674	-4.19
2	2	2	0	0.4602	2.0997	0.6235	0.0019	0	2	-0.9684	-2.5261	4.7201	1	2	1	2.064	1	0	-4.7512	0	0	-2.8288	7.4178	6.0401
0	2	2	0	-0.4382	-0.1535	0.277	-2.42	1	2	0.5668	-1.1525	-2.2251	0	1	1	0.7049	1	0	-0.4433	0	0	0.6262	2.5928	2.6921
2	1	1	2	-0.2643	0.9815	0.1145	-2.2169	1	0	0.3394	-3.488	4.2608	1	1	1	2.9962	1	2	-12.3084	2	0	0.3311	14.7215	13.2113
