X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100
-0.7515	0	0	-0.2698	-1.0029	-2.4957	0	0	-0.55	1	2	2.5112	2	2	0.7146	1	-3.5505	-2.1125	2.5506	3.8126	3.1033	4.3005	0.6021	1.1175	3.3292	0.5091	2	1	2	0	-1.6804	1.2506	2	0.5663	1	1.4343	-5.0326	1.3618	1	0.9513	2	2	0	-1.7247	2	0.2941	2	-1.1474	0	1.6298	2	2	0	2	4.3006	2	0	-10.0007	0.9757	-2.416	2	2	-2.0555	4.9624	1	2	0	-6.9054	1	1	0	0	0	1	0	0.9174	1	-3.1726	0	1	-4.7967	-2.7601	2.2018	7.4184	-0.8071	0	-1.2475	14.3806	1	1	0	2.0242	-1.2617	2	1.2068	1	2	0.6262	-1.1771	-1.8102
-2.5934	2	0	0.0867	-1.1334	1.7475	0	1	0.1508	1	0	-0.0839	1	1	-0.7778	0	2.7489	3.0365	-0.2814	-0.0021	-4.7926	0.3194	-2.1443	2.3217	-3.4342	-1.0149	2	2	2	1	1.2606	1.0667	1	-1.3029	1	-1.9224	5.9114	3.2997	2	-0.4223	1	2	1	0.1693	0	-0.4629	1	0.8031	1	-2.4532	1	2	0	2	-3.5558	1	2	6.1839	0.4749	0.3074	2	1	1.8362	-5.0533	2	2	0	2.124	2	0	2	2	0	1	2	1.3045	0	4.1967	1	1	2.4481	-1.2599	0.0183	-0.4751	-4.924	1	0.3002	-2.3085	2	0	0	-6.3236	4.4952	2	6.1584	2	0	-3.4179	0.1397	-0.7776
2.8738	1	1	1.6959	-0.1403	1.9155	1	2	-1.4504	0	2	2.0011	2	2	-0.9502	2	0.6458	-3.0526	2.4376	1.4833	4.8192	1.7413	-1.2124	-4.9687	5.6302	0.8556	2	0	1	1	1.9358	-1.4165	1	-0.0168	1	3.7229	-7.1815	-2.3318	0	-3.0351	0	0	1	0.0328	2	-0.247	1	0.1715	1	0.6556	2	2	1	2	5.6481	0	0	-7.0655	1.3502	-0.3482	2	2	-3.892	0.0103	2	0	0	-0.7038	0	1	1	0	2	0	1	1.9049	0	0.541	1	2	-3.1783	-0.0699	-0.491	5.5188	5.0704	0	0.3451	0.2826	1	2	2	-4.2555	3.5468	0	3.1822	1	2	2.1777	4.4645	-2.6019
0.4347	2	2	-0.5426	-1.2537	0.9572	0	0	-0.1145	2	0	-1.626	2	1	-1.7684	1	-3.4723	1.0567	2.6167	-2.4772	0.0058	-1.9417	1.6447	-2.1612	1.8457	0.1196	1	2	0	1	1.1561	-2.4484	2	-1.155	0	0.4851	-0.8115	-1.849	0	1.1131	0	2	2	1.5971	1	-0.3847	1	0.504	1	-1.0059	2	1	2	1	-1.9748	1	2	0.2895	-0.0707	-1.1178	0	2	-3.7281	3.8181	1	0	1	4.2134	0	0	0	0	0	1	1	0.2372	2	-2.4455	0	1	0.4041	0.967	-0.5798	-0.0288	0.8281	1	-0.9698	-5.6032	0	0	2	5.558	-6.7841	1	-9.1268	0	0	-2.532	-1.6924	0.9174
-0.1491	2	2	2.3418	-0.6278	1.3642	0	0	1.139	2	0	-0.7511	1	2	-0.9769	1	-3.8097	2.2674	0.6399	1.4632	-3.1363	7.7476	-0.8597	0.2608	-3.5221	0.8936	0	2	0	0	-1.868	-2.4343	0	-0.2765	1	-1.3555	3.0867	0.698	2	-4.8658	2	0	2	-0.7765	0	0.0854	2	-0.2827	0	-0.741	1	1	0	0	-0.5938	2	2	1.2533	0.3025	-0.0651	2	0	-2.5166	-3.7949	2	0	2	-0.6772	1	2	1	0	2	2	0	-0.9005	1	-2.832	1	0	5.7516	-0.5449	-1.9316	3.1536	-1.9485	1	-3.9155	4.595	2	0	2	4.1334	4.7772	1	11.4311	0	0	-2.3826	-2.6678	-0.7514
0.6716	0	2	-1.4631	3.4047	1.4923	0	1	0.3358	2	1	-0.7971	1	1	0.7378	2	2.8055	1.3658	-1.5134	-0.751	-1.9306	-0.5015	1.4008	1.3319	-2.5418	0.045	1	2	0	1	0.72	-1.3647	0	0.5261	2	0.7643	0.4997	0.3242	1	1.6406	0	2	1	-0.3713	1	-0.6195	1	0.4917	1	-1.1191	0	0	2	0	-1.6939	1	2	2.0581	3.0682	1.0313	2	2	1.7962	-1.2491	0	1	0	3.1101	0	2	1	0	0	1	1	-1.3747	1	4.7448	2	0	2.6438	-1.7928	2.7142	3.6047	-1.9122	1	1.6926	-3.2693	2	1	2	-6.8552	5.6477	0	-1.7404	0	0	5.1973	4.2888	2.8419
-0.2923	0	0	-0.1137	-0.2331	-0.1045	0	2	0.9236	1	1	-1.3715	2	0	-0.9034	2	2.0683	0.33	1.2507	-1.8263	3.4063	-3.2706	0.3971	0.1045	2.5246	-0.8514	2	1	2	1	-1.214	4.5157	2	-0.1728	0	-1.8101	-0.5591	-3.8998	1	0.8713	2	0	0	-0.6799	1	0.9954	1	0.7687	0	-1.6775	0	2	0	0	0.5403	2	0	-0.7527	-1.7211	-2.0075	0	0	-0.6401	1.6324	2	2	1	3.5962	0	2	0	1	0	0	1	2.7868	0	3.2305	2	0	-3.9581	-0.3506	0.125	-2.9079	0.7265	0	2.2367	-10.7006	1	2	0	-1.4227	0.3794	0	-3.8698	2	1	0.7499	-1.7402	5.2875
-1.7092	0	0	1.4452	0.2448	0.7589	0	2	0.5616	1	0	0.3375	2	0	-0.8125	0	-0.2392	-1.1692	1.6505	0.3578	2.5254	4.4122	0.5922	0.0381	3.8535	-0.9654	1	1	0	2	-0.0451	4.0336	1	-1.1088	0	0.9162	-2.0015	-2.2556	0	-1.0492	2	1	0	0.1446	0	2.4065	2	0.63	1	0.6349	0	1	0	0	1.5372	0	0	-5.485	1.6506	2.0785	2	1	-0.7647	1.0379	2	2	2	-0.6019	0	2	0	0	1	1	0	0.2982	1	0.5978	1	0	-0.0877	-2.4369	2.0645	0.4687	-1.5262	0	0.8382	-1.04	1	2	0	-2.0937	5.5985	2	8.8434	2	0	2.5897	-3.3356	2.2271
0.6254	2	0	-0.3143	-2.2045	0.1796	2	0	0.8569	1	1	1.4041	1	0	-0.9851	0	2.0989	-0.5051	0.6117	1.4131	-0.8041	3.5316	-0.3481	0.0076	-1.3792	-3.1074	1	2	2	1	3.1182	0.5865	1	-3.2242	1	-3.7524	2.423	-0.5764	2	-0.5639	0	0	1	-1.4904	0	1.3567	2	-2.0728	1	-0.3719	1	0	2	1	-1.3954	1	1	3.1657	-3.052	-1.942	1	0	2.7599	-2.8492	2	1	2	-1.7925	1	1	2	2	1	1	0	-0.98	0	4.5149	2	2	-1.1881	-1.6262	-3.7338	-1.4833	-3.6656	2	1.9138	8.2585	0	2	1	-6.6748	6.2029	2	7.4477	2	1	-3.5396	1.0423	-0.7472
0.8868	1	1	1.6768	0.8614	0.0766	1	2	-0.9643	2	0	-1.2916	1	0	2.2028	2	-0.1987	1.6255	1.2236	-1.3599	-0.065	1.3869	1.6682	1.7055	0.4648	-0.9084	2	0	0	1	2.787	1.6941	1	0.0849	1	1.6506	-0.1406	2.7413	0	0.1946	0	0	0	0.698	0	-0.6376	1	0.3994	1	-3.4902	2	1	2	0	3.0853	2	2	0.8502	-0.3777	2.0577	0	2	-1.1249	0.7057	0	1	1	5.0662	0	2	0	1	0	2	2	-0.7037	2	1.4369	2	0	0.8989	-1.986	1.4483	0.2854	-0.4673	1	1.2223	-6.1185	2	2	2	-3.1353	2.0469	2	-1.9906	1	0	0.5747	-2.8328	0.5583
